Species,Comparison,Min,Median
Ecy,,0.000002,0.01068608
Ema,CC,0.000002,0.011544229
Ema,CS,0.10820864,0.112350901
Ema,SS,0.000002,0.002067963
Ema,WC,0.07366701,0.078098784
Ema,WS,0.08409162,0.090330059
Ema,WW,0.000002,0.002107822
Evi,EE,0.000002018,0.011130088
Evi,ES,0.0875055614,0.102097465
Evi,SS,0.000002018,0.008485437
Evi,WE,0.0568707094,0.090365767
Evi,WS,0.156690596,0.183135896
Evi,WW,0.0000050408,0.012913589
Eve,EE,0.000002,0.01086035
Eve,ES,0.159664,0.21895282
Eve,SS,0.000002,0.01365367
Eve,WE,0.1515114,0.20078829
Eve,WS,0.1437185,0.18950045
Eve,WW,0.000002,0.01345501
